Movie,Year,Genre,IMDB Rating
Star Wars: Episode VI - Return of the Jedi,1983,"['Action', 'Adventure', 'Fantasy']",8.3
Taxi Driver,1976,"['Crime', 'Drama']",8.3
Monty Python and the Holy Grail,1975,"['Adventure', 'Comedy', 'Fantasy']",8.3
The Sting,1973,"['Comedy', 'Crime', 'Drama']",8.3
A Clockwork Orange,1971,"['Crime', 'Drama', 'Sci-Fi']",8.3
2001: A Space Odyssey,1968,"['Adventure', 'Sci-Fi']",8.3
For a Few Dollars More,1965,['Western'],8.3
To Kill a Mockingbird,1962,"['Crime', 'Drama']",8.3
Lawrence of Arabia,1962,"['Adventure', 'Biography', 'Drama']",8.3
Yojimbo,1961,"['Action', 'Drama', 'Thriller']",8.3
The Apartment,1960,"['Comedy', 'Drama', 'Romance']",8.3
North by Northwest,1959,"['Adventure', 'Mystery', 'Thriller']",8.3
Vertigo,1958,"['Mystery', 'Romance', 'Thriller']",8.3
Singin' in the Rain,1952,"['Comedy', 'Musical', 'Romance']",8.3
Ikiru,1952,['Drama'],8.3
Rashomon,1950,"['Crime', 'Drama', 'Mystery']",8.3
All About Eve,1950,['Drama'],8.3
Bicycle Thieves,1948,['Drama'],8.3
Double Indemnity,1944,"['Crime', 'Drama', 'Film-Noir']",8.3
Citizen Kane,1941,"['Drama', 'Mystery']",8.3
M,1931,"['Crime', 'Mystery', 'Thriller']",8.3
Metropolis,1927,"['Drama', 'Sci-Fi']",8.3
The Kid,1921,"['Comedy', 'Drama', 'Family']",8.3
Green Book,2018,"['Biography', 'Comedy', 'Drama']",8.2
"Three Billboards Outside Ebbing, Missouri",2017,"['Crime', 'Drama']",8.2
Room,2015,"['Drama', 'Thriller']",8.2
Winter Sleep,2014,['Drama'],8.2
Inside Out,2015,"['Animation', 'Adventure', 'Comedy']",8.2
The Secret in Their Eyes,2009,"['Drama', 'Mystery', 'Romance']",8.2
Warrior,2011,"['Drama', 'Sport']",8.2
Up,2009,"['Animation', 'Adventure', 'Comedy']",8.2
The Wolf of Wall Street,2013,"['Biography', 'Crime', 'Drama']",8.2
There Will Be Blood,2007,['Drama'],8.2
Pan's Labyrinth,2006,"['Drama', 'Fantasy', 'War']",8.2
V for Vendetta,2005,"['Action', 'Drama', 'Sci-Fi']",8.2
Rang De Basanti,2006,"['Comedy', 'Drama']",8.2
Batman Begins,2005,"['Action', 'Adventure']",8.2
Downfall,2004,"['Biography', 'Drama', 'History']",8.2
Howl's Moving Castle,2004,"['Animation', 'Adventure', 'Family']",8.2
A Beautiful Mind,2001,"['Biography', 'Drama']",8.2
Neon Genesis Evangelion: The End of Evangelion,1997,"['Animation', 'Action', 'Drama']",8.2
"Lock, Stock and Two Smoking Barrels",1998,"['Comedy', 'Crime']",8.2
Trainspotting,1996,['Drama'],8.2
Heat,1995,"['Crime', 'Drama', 'Thriller']",8.2
Casino,1995,"['Crime', 'Drama']",8.2
Unforgiven,1992,"['Drama', 'Western']",8.2
Raise the Red Lantern,1991,"['Drama', 'History', 'Romance']",8.2
Indiana Jones and the Last Crusade,1989,"['Action', 'Adventure']",8.2
My Neighbor Totoro,1988,"['Animation', 'Family', 'Fantasy']",8.2
Die Hard,1988,"['Action', 'Thriller']",8.2
Come and See,1985,"['Drama', 'War']",8.2
Ran,1985,"['Action', 'Drama']",8.2
Blade Runner,1982,"['Sci-Fi', 'Thriller']",8.2
Raging Bull,1980,"['Biography', 'Drama', 'Sport']",8.2
The Elephant Man,1980,"['Biography', 'Drama']",8.2
Chinatown,1974,"['Drama', 'Mystery', 'Thriller']",8.2
Andrei Rublev,1966,"['Biography', 'Drama', 'History']",8.2
The Great Escape,1963,"['Adventure', 'Drama', 'History']",8.2
Judgment at Nuremberg,1961,"['Drama', 'War']",8.2
Some Like It Hot,1959,"['Comedy', 'Music', 'Romance']",8.2
Wild Strawberries,1957,"['Drama', 'Romance']",8.2
The Seventh Seal,1957,"['Drama', 'Fantasy']",8.2
The Bridge on the River Kwai,1957,"['Adventure', 'Drama', 'War']",8.2
On the Waterfront,1954,"['Crime', 'Drama', 'Thriller']",8.2
Dial M for Murder,1954,"['Crime', 'Thriller']",8.2
Tokyo Story,1953,['Drama'],8.2
The Third Man,1949,"['Film-Noir', 'Mystery', 'Thriller']",8.2
The Treasure of the Sierra Madre,1948,"['Adventure', 'Drama', 'Western']",8.2
Mr. Smith Goes to Washington,1939,"['Comedy', 'Drama']",8.2
Gone with the Wind,1939,"['Drama', 'History', 'Romance']",8.2
Sunrise,1927,"['Drama', 'Romance']",8.2
The General,1926,"['Action', 'Adventure', 'Comedy']",8.2
The Gold Rush,1925,"['Adventure', 'Comedy', 'Drama']",8.2
Sherlock Jr.,1924,"['Action', 'Comedy', 'Romance']",8.2
The Handmaiden,2016,"['Drama', 'Romance', 'Thriller']",8.1
Logan,2017,"['Action', 'Drama', 'Sci-Fi']",8.1
Wild Tales,2014,"['Comedy', 'Drama', 'Thriller']",8.1
The Grand Budapest Hotel,2014,"['Adventure', 'Comedy', 'Crime']",8.1
Gone Girl,2014,"['Drama', 'Mystery', 'Thriller']",8.1
Hacksaw Ridge,2016,"['Biography', 'Drama', 'History']",8.1
12 Years a Slave,2013,"['Biography', 'Drama', 'History']",8.1
Guardians of the Galaxy,2014,"['Action', 'Adventure', 'Comedy']",8.1
Rush,2013,"['Action', 'Biography', 'Drama']",8.1
Spotlight,2015,"['Crime', 'Drama']",8.1
The Help,2011,['Drama'],8.1
Prisoners,2013,"['Crime', 'Drama', 'Mystery']",8.1
Mad Max: Fury Road,2015,"['Action', 'Adventure', 'Sci-Fi']",8.1
Gran Torino,2008,['Drama'],8.1
